,output,task
1827,i would like to be moderately priced restaurant,i would like a moderately priced restaurant
1828,i would like to an moderately priced restaurant,i would like a moderately priced restaurant
1829,i would like to in moderately priced restaurant,i would like a moderately priced restaurant
1830,i would like a moderately priced restaurant,i would like a moderately priced restaurant
1831,i would like a moderately price restaurant,i would like a moderately priced restaurant
1832,i would like a moderately moderately priced restaurant,i would like a moderately priced restaurant
1833,i would like a priced restaurant,i would like a moderately priced restaurant
1834,i would like in moderately priced restaurant,i would like a moderately priced restaurant
1835,i would like be moderately priced restaurant,i would like a moderately priced restaurant
1836,i would like to a moderately priced restaurant,i would like a moderately priced restaurant
1837,i would like the moderately priced restaurant,i would like a moderately priced restaurant
1838,i would like moderately priced restaurant,i would like a moderately priced restaurant
1839,i would like a an moderately priced restaurant,i would like a moderately priced restaurant
1840,you it's a,spanish food
1841,you dish a,spanish food
1842,can you it's a,spanish food
1843,do you it's a,spanish food
1844,can you dish a,spanish food
1845,do you dish a,spanish food
1846,you is a,spanish food
1847,you its a,spanish food
1848,can it's a,spanish food
1849,you danish a,spanish food
1850,what is the area,what is the area
1851,is the area,what is the area
1852,what is that area,what is the area
1853,what with the area,what is the area
1854,what is the area uh,what is the area
1855,what is area,what is the area
1856,what the the area,what is the area
1857,what is the area of,what is the area
1858,that is the area,what is the area
1859,what what's the area,what is the area
1860,uh i'm looking for a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1861,hi i'm looking for a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1862,ah i'm looking for a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1863,oh i'm looking for a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1864,i i'm looking for a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1865,uh i'm looking a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1866,uh i'm looking for a in the centre part of town,im looking for a restaurant in the center part of town
1867,uh i'm looking for a restaurant restaurant in the centre part of town,im looking for a restaurant in the center part of town
1868,uh i'm looking for for restaurant in the centre part of town,im looking for a restaurant in the center part of town
1869,uh am looking for a restaurant in the centre part of town,im looking for a restaurant in the center part of town
1870,hungarian food,hungarian food
1871,hungarian hungarian food,hungarian food
1872,uh food,hungarian food
1873,hungarian area food,hungarian food
1874,hungarian of food,hungarian food
1875,i food,hungarian food
1876,hungarian need food,hungarian food
1877,food,hungarian food
1878,hungarian the food,hungarian food
1879,hungarian any food,hungarian food
1880,ok is there any food,no hungarian food
1881,ok are there any food,no hungarian food
1882,ok there any food,no hungarian food
